shirtNumber,position,country,name,,,,,
1,GK,Brazil,Alisson,,,,,
2,DF,England,Joe Gomez,,,,,
3,MF,Brazil,Fabinho,,,,,
4,DF,Netherland,Virgil van Dijk,,,,,
5,DF,France,Ibrahima Konaté,,,,,
6,MF,Spain,Thiago Alcântara,,,,,
7,MF,England,James Milner ,,,,,
8,MF,Guinea,Naby Keïta,,,,,
9,FW,Brazil,Roberto Firmino,,,,,
11,FW,Egypt,Mohamed Salah,,,,,
13,GK,Spain,Adrián,,,,,
14,MF,England,Jordan Henderson ,,,,,
15,MF,England,Alex Oxlade-Chamberlain,,,,,
17,MF,England,Curtis Jones,,,,,
19,MF,England,Harvey Elliott,,,,,
20,FW,Portugal,Diogo Jota,,,,,
21,DF,Greece,Kostas Tsimikas,,,,,
22,DF,Scotland,Calvin Ramsay,,,,,
23,FW,Colombia,Luis Díaz,,,,,
26,DF,Scotland,Andrew Robertson,,,,,
27,FW,Uruguay,Darwin Núñez,,,,,
28,FW,Portugal,Fábio Carvalho,,,,,
32,DF,Cameroon,Joël Matip,,,,,
47,DF,England,Nat Phillips,,,,,
62,GK,Ireland,Caoimhín Kelleher,,,,,
66,DF,England,Trent Alexander-Arnold,,,,,
72,DF,Netherland,Sepp van den Berg,,,,,