title,stadium,coach
Arsenal,Emirates Stadium,Mikel Arteta
Aston Villa,Villa Park,Steven Gerrard
Bournemouth,Dean Court,Scott Parker
Brentford,Gtech Community Stadium,Thomas Frank
Brighton & Hove Albion,Falmer Stadium,Graham Potter
Chelsea,Stamford Bridge,Thomas Tuchel
Crystal Palace,Selhurst Park,Patrick Vieira
Everton,Goodison Park,Frank Lampard
Fulham,Craven Cottage,Marco Silva
Leeds United,Elland Road,Jesse Marsch
Leicester City,King Power Stadium,Brendan Rodgers
Liverpool,Anfield,Jürgen Klopp
Manchester City,City of Manchester Stadium,Pep Guardiola
Manchester United,Old Trafford,Erik ten Hag
Newcastle United,St James' Park,Eddie Howe
Nottingham Forest,City Ground,Steve Cooper
Southampton,St Mary's Stadium,Ralph Hasenhüttl
Tottenham Hotspur,Tottenham Hotspur Stadium,Antonio Conte
West Ham United,London Stadium,David Moyes
Wolverhampton Wanderers,Molineux Stadium,Bruno Lage